rules;name;randtype;mode
1/1/1/1/9/1/1/1/1/;Conway's life;0;0
0/0/0/0/0/0/1/2/4/;Wolfram's Rule 30;-1;1
0.565/-0.716/0.565/-0.759/0.627/-0.759/0.565/-0.716/0.565/;Stars;1;2
0.68/-0.9/0.68/-0.9/-0.66/-0.9/0.68/-0.9/0.68/;Worms;1;3
0.8/-0.85/0.8/-0.85/-0.2/-0.85/0.8/-0.85/0.8/;Slime mold;1;4
0.565/-0.716/0.565/-0.716/0.627/-0.716/0.565/-0.716/0.565/;Wave;1;5
-0.939/0.88/-0.939/0.88/0.4/0.88/-0.939/0.88/-0.939/;Mitosis;1;6
0.037/0.43/-0.737/0.406/-0.321/-0.319/-0.458/0.416/0.478/;Fabric;1;7
0/1/0/1/1/1/0/1/0/;Pathways;1;8
